ProductId,SkuId,EAN,ISBN,Brand,Category,Imageurl1,Imageurl2,Imageurl3,StockStatus,StockQuantity,PackageWeight,Language,Title,Description,AttributeColor,AttributeSize,Attribute1,Attribute2,Attribute3,Currency,NormalPriceWithoutVAT,VATRate
AP10483378,AP10483378,8059978766175,,Coccinelle,"Apparel & Accessories > Handbags, Wallets & Cases > Handbags",https://brandsgateway-img.s3.fr-par.scw.cloud/10483375.jpeg,https://brandsgateway-img.s3.fr-par.scw.cloud/10483376.jpeg,https://brandsgateway-img.s3.fr-par.scw.cloud/10483377.jpeg,INSTOCK,9,,en,Coccinelle Lepaki Black Leather Women's Handbag,"Coccinelle Lepaki women's handbag in black leather. It features dual handles, a zip closure, an exterior pocket, an interior pocket and dedicated phone compartments.",Black,,,,,EUR,296.25,23
AP9928056,AP9928056,8050597739496,,Furla,"Apparel & Accessories > Handbags, Wallets & Cases > Handbags",https://brandsgateway-img.s3.fr-par.scw.cloud/9928053.jpeg,https://brandsgateway-img.s3.fr-par.scw.cloud/9928054.jpeg,https://brandsgateway-img.s3.fr-par.scw.cloud/9928055.jpeg,INSTOCK,7,,en,Furla Ava L Black Leather Tote Bag,"Furla Ava L tote bag in black leather. It features adjustable shoulder straps, a spacious interior, a zip closure and side drawstrings.",Black,,,,,EUR,333.75,23
AP9688410,AP9688410,8059579795581,,Dolce & Gabbana,"Apparel & Accessories > Handbags, Wallets & Cases > Handbags",https://brandsgateway-img.s3.fr-par.scw.cloud/9688447.jpeg,https://brandsgateway-img.s3.fr-par.scw.cloud/9688448.jpeg,https://brandsgateway-img.s3.fr-par.scw.cloud/9688449.jpeg,INSTOCK,9,,en,Dolce & Gabbana Green Nylon Waist Bag,"Dolce & Gabbana men's waist bag in nylon and calf leather. It features an adjustable waist strap, zip closure, exterior pockets and a metal logo plaque.",Green,,,,,EUR,505.00,23
AP10754546,AP10754546,8054034884251,,Versace,"Apparel & Accessories > Handbags, Wallets & Cases > Handbags",https://brandsgateway-img.s3.fr-par.scw.cloud/10754539.jpeg,https://brandsgateway-img.s3.fr-par.scw.cloud/10754541.jpeg,https://brandsgateway-img.s3.fr-par.scw.cloud/10754544.jpeg,INSTOCK,20,,en,Versace Beige Fabric Women's Handbag,Versace women's beige fabric handbag with a front detail and a removable shoulder strap.,Beige,,,,,EUR,663.75,23
AP11172829,AP11172829,0197865145455,,Tory Burch,"Apparel & Accessories > Handbags, Wallets & Cases > Handbags",https://brandsgateway-img.s3.fr-par.scw.cloud/11172823.jpeg,https://brandsgateway-img.s3.fr-par.scw.cloud/11172825.jpeg,https://brandsgateway-img.s3.fr-par.scw.cloud/11172827.jpeg,INSTOCK,6,,en,Tory Burch Brown Leather Women's Crossbody Bag,Tory Burch women's brown leather crossbody bag with a front logo detail and shoulder strap.,Brown,,,,,EUR,418.75,23
AP3772165,AP3772165,8053672820966,,Dolce & Gabbana,Apparel & Accessories > Clothing Accessories > Sunglasses > Womens,https://brandsgateway-img.s3.fr-par.scw.cloud/3772414.jpg,https://brandsgateway-img.s3.fr-par.scw.cloud/3772391.jpg,https://brandsgateway-img.s3.fr-par.scw.cloud/3772392.jpg,INSTOCK,9,,en,Dolce & Gabbana DG4326 Black Gold Polarized Sunglasses,"Dolce & Gabbana DG4326 women's butterfly sunglasses with a black acetate frame, gold sequin detailing and grey polarized lenses with UVA and UVB protection.",Black,,,,,EUR,442.50,23
AP4088252,AP4088252,8059226565543,,Dolce & Gabbana,Apparel & Accessories > Clothing Accessories > Sunglasses > Womens,https://brandsgateway-img.s3.fr-par.scw.cloud/4088258.jpg,https://brandsgateway-img.s3.fr-par.scw.cloud/4088259.jpg,https://brandsgateway-img.s3.fr-par.scw.cloud/4088260.jpg,INSTOCK,12,,en,Dolce & Gabbana DG2202 Pink Gold Sunglasses,"Dolce & Gabbana DG2202 women's sunglasses with a pink and gold metal frame, rose sequin detailing and bordeaux lenses with UVA and UVB protection.",Pink,,,,,EUR,480.00,23
AP8338001,AP8338001,3700943188991,,Jacquemus,Apparel & Accessories > Clothing Accessories > Sunglasses > Womens,https://brandsgateway-img.s3.fr-par.scw.cloud/8337959.jpeg,https://brandsgateway-img.s3.fr-par.scw.cloud/8337982.jpeg,,INSTOCK,5,,en,Jacquemus Yellow Acetate Aviator Sunglasses,Jacquemus women's aviator sunglasses with a yellow acetate frame and dark lenses. A protective case is included.,Yellow,,,,,EUR,306.25,23
AP8338007,AP8338007,3700943157188,,Jacquemus,Apparel & Accessories > Clothing Accessories > Sunglasses > Womens,https://brandsgateway-img.s3.fr-par.scw.cloud/8337975.jpeg,https://brandsgateway-img.s3.fr-par.scw.cloud/8337994.jpeg,,INSTOCK,3,,en,Jacquemus Light Blue Acetate Square Sunglasses,Jacquemus women's square sunglasses with a light blue acetate frame and dark lenses. A protective case is included.,Light Blue,,,,,EUR,315.00,23
AP10822866,AP10822866,197737245115,,Dsquared²,Apparel & Accessories > Clothing Accessories > Sunglasses > Womens,https://brandsgateway-img.s3.fr-par.scw.cloud/10822862.jpeg,https://brandsgateway-img.s3.fr-par.scw.cloud/10822863.jpeg,https://brandsgateway-img.s3.fr-par.scw.cloud/10822864.jpeg,INSTOCK,3,,en,Dsquared² Multicolor Acetate Cat Eye Sunglasses,Dsquared² women's cat eye sunglasses with a multicolor acetate frame and gradient brown lenses offering UV400 protection.,Multicolor,,,,,EUR,263.75,23
